product_url;designation;price;category;image_url;description;merchand_id;manufacturer_id;shipping_cost;in_stock;stock_detail;condition;upc_ean;product_type;ISBN;brand
http://www.lilibio.com/creme-hydratante/433-creme-confort-a-l-amande.html;Crème confort à l'amande Volume - 30 mL;12.5;Visage>Soin hydratant;http://www.lilibio.com/img/p/433-553-large.jpg;Pour les peaux sensibles à tendance sèche.;433-476;;5.9;Y;4;0;3596209532659;1;;
http://www.lilibio.com/creme-hydratante/436-fluide-hydratant-a-l-iris.html;Fluide hydratant à l'iris Volume - 30 mL;11.4;Visage>Soin hydratant;http://www.lilibio.com/img/p/436-590-large.jpg;Soin des peaux normales à mixtes.;436-479;;5.9;Y;4;0;3596209530310;1;;
http://www.lilibio.com/creme-hydratante/437-cemr-hydratante-a-l-iris.html;Cème hydratante à l'iris Volume - 30 mL;11.4;Visage>Soin hydratant;http://www.lilibio.com/img/p/437-557-large.jpg;Soin des peaux très déshydratées.;437-480;;5.9;Y;4;0;3596209530327;1;;
http://www.lilibio.com/creme-hydratante/456-creme-hydratante-legere-lift-argan.html;Crème hydratante légère Lift Argan Volume - 50 mL;12.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/456-576-large.jpg;Le nouveau soin super hydratant.;456-497;;5.9;Y;4;0;3517360002126;1;;
http://www.lilibio.com/creme-hydratante/457-creme-hydratante-riche-lift-argan.html;Crème hydratante riche Lift argan Volume - 50 mL;12.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/457-577-large.jpg;Le nouveau soin super hydratant.;457-498;;5.9;Y;5;0;3517360002119;1;;
http://www.lilibio.com/creme-hydratante/634-creme-visage-jour.html;Crème visage jour Volume - 30 mL;3.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/634-776-large.jpg;Vôtre peau est nourrit au quotidien.;634-676;;5.9;Y;6;0;3760143830502;1;;
http://www.lilibio.com/creme-hydratante/661-nectar-de-rose.html;Nectar de rose Volume - 50 mL;24.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/661-805-large.jpg;Pétales, baies et expressions de rose - Crème jour despeaux délicates.;661-687;;5.9;Y;2;0;3284410011116;1;;
http://www.lilibio.com/creme-hydratante/675-hydratsim.html;Hydratsim Volume - 50 mL;19.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/675-821-large.jpg; Noni, mourera, aloe vera -                         Gel désaltérant des peaux deshydratées.;675-701;;5.9;Y;4;0;3284410013745;1;;
http://www.lilibio.com/creme-hydratante/735-creme-vivifiante.html;Crème vivifiante Apicosma Volume - 50 mL;15.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/735-883-large.jpg; Propolis, abricot, jojoba -                         Peaux normales à mixtes.;735-752;;5.9;Y;3;0;3284410013455;1;;
http://www.lilibio.com/creme-hydratante/736-creme-revitalisante-apicosma.html;Crème revitalisante Apicosma Volume - 50 mL;15.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/736-884-large.jpg; Oranger, pollen, karité -                         Peaux sensibles - Sans parfum.;736-753;;5.9;Y;3;0;3284410013479;1;;
http://www.lilibio.com/creme-hydratante/877-soin-riche-rehydratant.html;Soin riche réhydratant à l'Eau thermale de Jonzac Volume - 50 mL;11.9;Visage>Soin hydratant;http://www.lilibio.com/img/p/877-1134-large.jpg;Soin riche réhydratant pour les peaux déshydratées et sensibles, à l'Eau Thermale de Jonzac.;877-963;;5.9;Y;4;0;3517360001372;1;;
